cell                                 n     exp     t    PF   maxDD
XAUUSD.anc_gold_dxy_resid.L        130  -0.024 -0.23  0.96   -20.8
XAUUSD.anc_gold_dxy_resid.S        118  -0.169 -1.50  0.74   -28.0
XAUUSD.anc_gold_yield_lag.L         75  +0.250  1.55  1.48    -9.4
XAUUSD.anc_gold_yield_lag.S        120  -0.151 -1.38  0.76   -32.8
AUDCAD.anc_cad_oil_lag.L            53  -0.031 -0.17  0.95    -5.9
AUDCAD.anc_cad_oil_lag.S            80  -0.060 -0.44  0.89   -10.1
USDCAD.anc_usdcad_oil_lag.L         60  -0.377 -2.69  0.47   -23.4
USDCAD.anc_usdcad_oil_lag.S         95  -0.258 -2.13  0.62   -23.5

8 cells swept. Survivor claims pending universal 10-gate pass.
