cell                                     n     exp     t  defl    PF   maxDD  GATE
USDJPY.saleh_kama_dir.S               1295  -0.073 -2.06 -3.56  0.88  -120.8  fail
USDJPY.saleh_kama_er.L                1203  +0.020  0.53 -0.97  1.03   -52.4  fail
USDJPY.saleh_kama_er.S                1145  -0.093 -2.47 -3.97  0.85  -127.9  fail
USDJPY.saleh_gator_dir.L              1211  -0.010 -0.27 -1.77  0.98   -48.9  fail
USDJPY.saleh_gator_dir.S               907  -0.119 -2.82 -4.32  0.82  -121.1  fail
USDJPY.saleh_gator_adx.L               661  -0.046 -0.90 -2.40  0.93   -40.6  fail
USDJPY.saleh_gator_adx.S               589  -0.105 -2.03 -3.53  0.83   -73.0  fail
USDJPY.saleh_gator_cmo.L               901  +0.020  0.46 -1.04  1.03   -34.2  fail
USDJPY.saleh_gator_cmo.S               671  -0.083 -1.67 -3.17  0.87   -72.3  fail
USDJPY.saleh_gator_rs.L                530  +0.047  0.78 -0.72  1.08   -20.1  fail
USDJPY.saleh_gator_rs.S                399  -0.161 -2.64 -4.14  0.75   -71.0  fail
USDJPY.saleh_gator_htf.L               903  +0.001  0.02 -1.48  1.00   -40.7  fail
USDJPY.saleh_gator_htf.S               469  -0.064 -1.08 -2.58  0.90   -54.7  fail
EURJPY.saleh_squeeze.L                  59  +0.281  1.26 -0.24  1.48    -8.6  fail
EURJPY.saleh_squeeze.S                  80  -0.112 -0.86 -2.36  0.81    -9.0  fail
EURJPY.saleh_ema_bank.L                375  -0.035 -0.47 -1.97  0.95   -37.6  fail
EURJPY.saleh_ema_bank.S                324  -0.053 -0.65 -2.15  0.92   -39.0  fail
EURJPY.saleh_turtle.L                  430  +0.050  0.71 -0.79  1.08   -24.4  fail
EURJPY.saleh_turtle.S                  373  -0.112 -1.57 -3.07  0.84   -51.1  fail
EURJPY.saleh_kama_dir.L               1320  +0.049  1.32 -0.18  1.08   -37.6  fail
EURJPY.saleh_kama_dir.S               1296  -0.026 -0.71 -2.21  0.96   -73.1  fail
EURJPY.saleh_kama_er.L                1135  +0.076  1.87  0.37  1.13   -21.7  fail
EURJPY.saleh_kama_er.S                1095  -0.040 -1.04 -2.54  0.93   -85.2  fail
EURJPY.saleh_gator_dir.L              1147  -0.026 -0.69 -2.19  0.96   -39.2  fail
EURJPY.saleh_gator_dir.S               961  -0.100 -2.46 -3.96  0.84  -118.6  fail
EURJPY.saleh_gator_adx.L               619  -0.054 -1.05 -2.55  0.91   -37.4  fail
EURJPY.saleh_gator_adx.S               628  -0.084 -1.67 -3.17  0.86   -70.3  fail
EURJPY.saleh_gator_cmo.L               878  +0.000  0.01 -1.49  1.00   -44.1  fail
EURJPY.saleh_gator_cmo.S               703  -0.072 -1.50 -3.00  0.88   -74.6  fail
EURJPY.saleh_gator_rs.L                475  -0.011 -0.17 -1.67  0.98   -27.1  fail
EURJPY.saleh_gator_rs.S                420  -0.106 -1.78 -3.28  0.83   -44.6  fail
EURJPY.saleh_gator_htf.L               872  -0.038 -0.86 -2.36  0.94   -37.5  fail
EURJPY.saleh_gator_htf.S               524  -0.028 -0.50 -2.00  0.95   -35.0  fail
GBPJPY.saleh_squeeze.L                  68  +0.147  0.90 -0.60  1.27    -5.3  fail
GBPJPY.saleh_squeeze.S                  83  +0.172  1.12 -0.38  1.31   -10.1  fail
GBPJPY.saleh_ema_bank.L                388  +0.058  0.83 -0.67  1.10   -22.0  fail
GBPJPY.saleh_ema_bank.S                297  -0.174 -2.09 -3.59  0.75   -55.8  fail
GBPJPY.saleh_turtle.L                  459  +0.051  0.74 -0.76  1.08   -20.2  fail
GBPJPY.saleh_turtle.S                  354  +0.016  0.21 -1.29  1.02   -25.4  fail
GBPJPY.saleh_kama_dir.L               1359  +0.060  1.66  0.16  1.10   -22.3  fail
GBPJPY.saleh_kama_dir.S               1274  -0.033 -0.92 -2.42  0.94   -76.7  fail
GBPJPY.saleh_kama_er.L                1197  +0.072  1.87  0.37  1.13   -21.1  fail
GBPJPY.saleh_kama_er.S                1090  -0.052 -1.33 -2.83  0.92   -89.2  fail
GBPJPY.saleh_gator_dir.L              1169  +0.018  0.46 -1.04  1.03   -31.0  fail
GBPJPY.saleh_gator_dir.S               946  -0.076 -1.84 -3.34  0.88   -86.6  fail
GBPJPY.saleh_gator_adx.L               612  -0.036 -0.68 -2.18  0.94   -39.1  fail
GBPJPY.saleh_gator_adx.S               655  -0.086 -1.75 -3.25  0.86   -68.0  fail
GBPJPY.saleh_gator_cmo.L               887  +0.035  0.77 -0.73  1.06   -32.0  fail
GBPJPY.saleh_gator_cmo.S               686  -0.080 -1.64 -3.14  0.87   -66.9  fail
GBPJPY.saleh_gator_rs.L                495  +0.027  0.45 -1.05  1.05   -26.0  fail
GBPJPY.saleh_gator_rs.S                401  -0.148 -2.43 -3.93  0.77   -65.3  fail
GBPJPY.saleh_gator_htf.L               921  -0.007 -0.17 -1.67  0.99   -33.8  fail
GBPJPY.saleh_gator_htf.S               484  -0.071 -1.24 -2.74  0.88   -54.6  fail
AUDUSD.saleh_ema_bank.L                291  -0.123 -1.49 -2.99  0.83   -52.5  fail
AUDUSD.saleh_ema_bank.S                264  -0.017 -0.19 -1.69  0.97   -20.3  fail
AUDUSD.saleh_turtle.L                  337  -0.102 -1.33 -2.83  0.86   -44.6  fail
AUDUSD.saleh_turtle.S                  330  -0.151 -2.00 -3.50  0.79   -56.2  fail
AUDUSD.saleh_kama_dir.L               1112  -0.077 -1.94 -3.44  0.88  -100.1  fail
AUDUSD.saleh_kama_dir.S               1091  -0.111 -2.89 -4.39  0.83  -134.3  fail
AUDUSD.saleh_kama_er.L                 923  -0.064 -1.48 -2.98  0.90   -90.4  fail
AUDUSD.saleh_kama_er.S                 936  -0.137 -3.35 -4.85  0.79  -137.2  fail
AUDUSD.saleh_gator_dir.L               886  -0.075 -1.67 -3.17  0.88   -72.2  fail
AUDUSD.saleh_gator_dir.S               851  -0.101 -2.33 -3.83  0.84   -95.9  fail
AUDUSD.saleh_gator_adx.L               447  -0.071 -1.16 -2.66  0.89   -66.4  fail
AUDUSD.saleh_gator_adx.S               487  -0.064 -1.11 -2.61  0.90   -49.7  fail
AUDUSD.saleh_gator_cmo.L               632  -0.104 -1.97 -3.47  0.84   -67.5  fail
AUDUSD.saleh_gator_cmo.S               645  -0.122 -2.44 -3.94  0.81   -85.0  fail
AUDUSD.saleh_gator_rs.L                416  -0.061 -0.96 -2.46  0.90   -33.4  fail
AUDUSD.saleh_gator_rs.S                366  -0.139 -2.16 -3.66  0.78   -57.1  fail
AUDUSD.saleh_gator_htf.L               587  -0.095 -1.73 -3.23  0.85   -68.8  fail
AUDUSD.saleh_gator_htf.S               553  -0.087 -1.61 -3.11  0.86   -54.7  fail
USDCAD.saleh_squeeze.L                  66  -0.161 -1.02 -2.52  0.76   -11.6  fail
USDCAD.saleh_squeeze.S                  63  +0.037  0.24 -1.26  1.07    -7.1  fail
USDCAD.saleh_ema_bank.L                351  +0.035  0.44 -1.06  1.05   -22.7  fail
USDCAD.saleh_ema_bank.S                336  -0.170 -2.31 -3.81  0.76   -62.7  fail
USDCAD.saleh_turtle.L                  400  -0.059 -0.81 -2.31  0.92   -49.2  fail
USDCAD.saleh_turtle.S                  367  -0.092 -1.26 -2.76  0.87   -45.0  fail
USDCAD.saleh_kama_dir.L               1330  -0.047 -1.29 -2.79  0.93   -96.3  fail
USDCAD.saleh_kama_dir.S               1269  -0.123 -3.51 -5.01  0.81  -165.8  fail
USDCAD.saleh_kama_er.L                1140  -0.037 -0.95 -2.45  0.94   -89.0  fail
USDCAD.saleh_kama_er.S                1068  -0.105 -2.75 -4.25  0.83  -122.3  fail
USDCAD.saleh_gator_dir.L              1045  -0.045 -1.12 -2.62  0.93   -84.2  fail
USDCAD.saleh_gator_dir.S               975  -0.128 -3.21 -4.71  0.80  -128.6  fail
USDCAD.saleh_gator_adx.L               656  -0.011 -0.22 -1.72  0.98   -52.8  fail
USDCAD.saleh_gator_adx.S               546  -0.160 -3.07 -4.57  0.75   -91.6  fail
USDCAD.saleh_gator_cmo.L               797  -0.073 -1.60 -3.10  0.88   -84.2  fail
USDCAD.saleh_gator_cmo.S               715  -0.132 -2.84 -4.34  0.80  -100.1  fail
USDCAD.saleh_gator_rs.L                460  +0.030  0.48 -1.02  1.05   -40.7  fail
USDCAD.saleh_gator_rs.S                463  -0.097 -1.64 -3.14  0.85   -46.8  fail
USDCAD.saleh_gator_htf.L               774  -0.051 -1.07 -2.57  0.92   -85.4  fail
USDCAD.saleh_gator_htf.S               538  -0.085 -1.56 -3.06  0.86   -47.5  fail
USDCHF.saleh_squeeze.S                  75  +0.024  0.15 -1.35  1.04    -8.1  fail
USDCHF.saleh_ema_bank.L                352  -0.121 -1.27 -2.77  0.83   -49.9  fail
USDCHF.saleh_ema_bank.S                348  +0.015  0.18 -1.32  1.02   -25.5  fail
USDCHF.saleh_turtle.L                  392  -0.052 -0.61 -2.11  0.93   -34.8  fail
USDCHF.saleh_turtle.S                  402  -0.031 -0.44 -1.94  0.96   -31.4  fail
USDCHF.saleh_kama_dir.L               1296  -0.617 -1.14 -2.64  0.49  -815.2  fail
USDCHF.saleh_kama_dir.S               1280  -0.072 -2.00 -3.50  0.89  -101.8  fail
USDCHF.saleh_kama_er.L                1120  -0.642 -1.02 -2.52  0.50  -748.9  fail
USDCHF.saleh_kama_er.S                1113  -0.057 -1.47 -2.97  0.91   -73.9  fail
USDCHF.saleh_gator_dir.L              1044  -0.681 -1.01 -2.51  0.48  -749.5  fail
USDCHF.saleh_gator_dir.S              1010  -0.096 -2.43 -3.93  0.85  -105.3  fail
USDCHF.saleh_gator_adx.L               460  -0.022 -0.33 -1.83  0.96   -41.9  fail
USDCHF.saleh_gator_adx.S               667  -0.070 -1.42 -2.92  0.89   -54.6  fail
USDCHF.saleh_gator_cmo.L               743  -0.869 -0.92 -2.42  0.45  -737.4  fail
USDCHF.saleh_gator_cmo.S               751  -0.110 -2.38 -3.88  0.83   -90.3  fail
USDCHF.saleh_gator_rs.L                461  -0.082 -1.28 -2.78  0.88   -58.4  fail
USDCHF.saleh_gator_rs.S                453  -0.056 -0.96 -2.46  0.91   -32.5  fail
USDCHF.saleh_gator_htf.L               593  -0.020 -0.29 -1.79  0.97   -52.3  fail
USDCHF.saleh_gator_htf.S               716  -0.111 -2.35 -3.85  0.83   -87.2  fail
NZDUSD.saleh_squeeze.S                  68  +0.085  0.53 -0.97  1.16   -10.3  fail
NZDUSD.saleh_ema_bank.L                335  -0.233 -3.08 -4.58  0.70   -79.3  fail
NZDUSD.saleh_ema_bank.S                341  -0.037 -0.46 -1.96  0.95   -33.8  fail
NZDUSD.saleh_turtle.L                  387  -0.128 -1.76 -3.26  0.83   -65.8  fail
NZDUSD.saleh_turtle.S                  410  -0.029 -0.42 -1.92  0.96   -50.1  fail
NZDUSD.saleh_kama_dir.L               1315  -0.076 -2.02 -3.52  0.88  -109.9  fail
NZDUSD.saleh_kama_dir.S               1270  -0.038 -1.06 -2.56  0.94   -84.8  fail
NZDUSD.saleh_kama_er.L                1137  -0.086 -2.12 -3.62  0.87  -104.5  fail
NZDUSD.saleh_kama_er.S                1117  -0.028 -0.73 -2.23  0.95   -58.9  fail
NZDUSD.saleh_gator_dir.L              1007  -0.107 -2.61 -4.11  0.84  -121.6  fail
NZDUSD.saleh_gator_dir.S              1032  -0.058 -1.44 -2.94  0.91   -95.9  fail
NZDUSD.saleh_gator_adx.L               525  -0.093 -1.55 -3.05  0.86   -56.3  fail
NZDUSD.saleh_gator_adx.S               663  -0.051 -1.03 -2.53  0.92   -48.9  fail
NZDUSD.saleh_gator_cmo.L               747  -0.087 -1.82 -3.32  0.86   -81.5  fail
