cell                                     n     exp     t  defl    PF   maxDD  GATE
CHFJPY.saleh_squeeze.S                  89  -0.095 -0.69 -2.19  0.85   -15.6  fail
CHFJPY.saleh_ema_bank.L                383  -0.042 -0.56 -2.06  0.94   -30.7  fail
CHFJPY.saleh_ema_bank.S                295  -0.063 -0.75 -2.25  0.91   -35.0  fail
CHFJPY.saleh_turtle.L                  454  -0.092 -1.34 -2.84  0.87   -51.1  fail
CHFJPY.saleh_turtle.S                  313  -0.143 -1.84 -3.34  0.80   -53.4  fail
CHFJPY.saleh_kama_dir.L               1325  +0.062  1.61  0.11  1.11   -27.1  fail
CHFJPY.saleh_kama_dir.S               1208  -0.112 -3.14 -4.64  0.82  -158.2  fail
CHFJPY.saleh_kama_er.L                1170  +0.045  1.10 -0.40  1.08   -37.2  fail
CHFJPY.saleh_kama_er.S                1045  -0.100 -2.60 -4.10  0.84  -130.9  fail
CHFJPY.saleh_gator_dir.L              1127  -0.008 -0.20 -1.70  0.99   -36.8  fail
CHFJPY.saleh_gator_dir.S               894  -0.121 -2.92 -4.42  0.81  -121.7  fail
CHFJPY.saleh_gator_adx.L               538  -0.049 -0.86 -2.36  0.92   -48.7  fail
CHFJPY.saleh_gator_adx.S               640  -0.133 -2.72 -4.22  0.79   -93.9  fail
CHFJPY.saleh_gator_cmo.L               872  +0.009  0.20 -1.30  1.02   -35.9  fail
CHFJPY.saleh_gator_cmo.S               660  -0.127 -2.63 -4.13  0.80   -95.6  fail
CHFJPY.saleh_gator_rs.L                487  +0.080  1.19 -0.31  1.14   -41.2  fail
CHFJPY.saleh_gator_rs.S                398  -0.093 -1.49 -2.99  0.85   -47.9  fail
CHFJPY.saleh_gator_htf.L               930  -0.021 -0.47 -1.97  0.97   -36.5  fail
CHFJPY.saleh_gator_htf.S               403  -0.146 -2.37 -3.87  0.77   -64.2  fail
BTCUSD.saleh_squeeze.L                  82  +0.138  0.93 -0.57  1.26    -7.1  fail
BTCUSD.saleh_squeeze.S                  77  +0.094  0.61 -0.89  1.17    -9.4  fail
BTCUSD.saleh_ema_bank.L                310  -0.039 -0.46 -1.96  0.94   -32.6  fail
BTCUSD.saleh_ema_bank.S                311  +0.023  0.27 -1.23  1.04   -20.1  fail
BTCUSD.saleh_turtle.L                  442  +0.098  1.42 -0.08  1.15   -15.1  fail
BTCUSD.saleh_turtle.S                  351  +0.142  1.79  0.29  1.22   -18.8  fail
BTCUSD.saleh_kama_dir.L               1446  +0.006  0.17 -1.33  1.01   -61.7  fail
BTCUSD.saleh_kama_dir.S               1411  -0.022 -0.63 -2.13  0.96   -87.5  fail
BTCUSD.saleh_kama_er.L                1254  +0.013  0.37 -1.13  1.02   -57.4  fail
BTCUSD.saleh_kama_er.S                1187  -0.017 -0.46 -1.96  0.97   -76.7  fail
BTCUSD.saleh_gator_dir.L              1171  +0.024  0.64 -0.86  1.04   -47.7  fail
BTCUSD.saleh_gator_dir.S              1078  -0.007 -0.17 -1.67  0.99   -51.4  fail
BTCUSD.saleh_gator_adx.L               737  +0.060  1.27 -0.23  1.11   -31.8  fail
BTCUSD.saleh_gator_adx.S               734  -0.006 -0.12 -1.62  0.99   -39.3  fail
BTCUSD.saleh_gator_cmo.L               868  +0.063  1.43 -0.07  1.11   -26.5  fail
BTCUSD.saleh_gator_cmo.S               804  +0.004  0.08 -1.42  1.01   -39.8  fail
BTCUSD.saleh_gator_rs.L                502  -0.014 -0.25 -1.75  0.98   -19.6  fail
BTCUSD.saleh_gator_rs.S                471  -0.022 -0.37 -1.87  0.96   -30.0  fail
BTCUSD.saleh_gator_htf.L               821  +0.066  1.46 -0.04  1.12   -19.3  fail
BTCUSD.saleh_gator_htf.S               626  -0.024 -0.46 -1.96  0.96   -49.0  fail
ETHUSD.saleh_squeeze.L                  71  -0.160 -1.01 -2.51  0.77   -13.8  fail
ETHUSD.saleh_squeeze.S                  98  -0.828 -5.06 -6.56  0.31   -85.0  fail
ETHUSD.saleh_ema_bank.L                375  -0.507 -5.55 -7.05  0.51  -194.1  fail
ETHUSD.saleh_ema_bank.S                385  -0.610 -7.16 -8.66  0.43  -237.5  fail
ETHUSD.saleh_turtle.L                  518  -0.563 -8.12 -9.62  0.46  -292.5  fail
ETHUSD.saleh_turtle.S                  441  -0.546 -6.57 -8.07  0.49  -257.6  fail
ETHUSD.saleh_kama_dir.L               1675  -0.579 -15.38 -16.88  0.42  -973.9  fail
ETHUSD.saleh_kama_dir.S               1641  -0.545 -14.23 -15.73  0.44  -901.0  fail
ETHUSD.saleh_kama_er.L                1455  -0.580 -14.06 -15.56  0.42  -849.1  fail
ETHUSD.saleh_kama_er.S                1445 -12.290 -1.06 -2.56  0.03 -17765.4  fail
ETHUSD.saleh_gator_dir.L              1346  -0.558 -13.71 -15.21  0.43  -760.4  fail
ETHUSD.saleh_gator_dir.S              1264  -0.887 -3.41 -4.91  0.32 -1131.5  fail
ETHUSD.saleh_gator_adx.L               821  -0.519 -9.82 -11.32  0.46  -433.6  fail
ETHUSD.saleh_gator_adx.S               848  -0.860 -2.23 -3.73  0.35  -750.2  fail
ETHUSD.saleh_gator_cmo.L              1015  -0.542 -11.53 -13.03  0.44  -557.6  fail
ETHUSD.saleh_gator_cmo.S               932  -0.593 -11.24 -12.74  0.42  -559.0  fail
ETHUSD.saleh_gator_rs.L                596  -0.572 -9.34 -10.84  0.42  -342.2  fail
ETHUSD.saleh_gator_rs.S                531  -1.277 -2.08 -3.58  0.23  -681.9  fail
ETHUSD.saleh_gator_htf.L               846  -0.462 -9.64 -11.14  0.48  -394.2  fail
ETHUSD.saleh_gator_htf.S               846  -1.099 -2.84 -4.34  0.27  -936.5  fail
AUDCAD.saleh_squeeze.S                  58  +0.004  0.02 -1.48  1.01    -9.9  fail
AUDCAD.saleh_ema_bank.L                297  -0.057 -0.67 -2.17  0.92   -30.5  fail
AUDCAD.saleh_ema_bank.S                280  +0.056  0.67 -0.83  1.09   -42.4  fail
AUDCAD.saleh_turtle.L                  300  -0.067 -0.79 -2.29  0.91   -34.9  fail
AUDCAD.saleh_turtle.S                  290  -0.197 -2.52 -4.02  0.73   -60.0  fail
AUDCAD.saleh_kama_dir.L               1052  -0.039 -0.95 -2.45  0.94   -77.9  fail
AUDCAD.saleh_kama_dir.S               1036  -0.069 -1.80 -3.30  0.89   -98.5  fail
AUDCAD.saleh_kama_er.L                 906  -0.038 -0.85 -2.35  0.94   -63.7  fail
AUDCAD.saleh_kama_er.S                 897  -0.059 -1.42 -2.92  0.90   -78.1  fail
AUDCAD.saleh_gator_dir.L               843  -0.064 -1.42 -2.92  0.90   -61.4  fail
AUDCAD.saleh_gator_dir.S               817  -0.061 -1.39 -2.89  0.90   -56.8  fail
AUDCAD.saleh_gator_adx.L               390  -0.068 -1.07 -2.57  0.89   -35.3  fail
AUDCAD.saleh_gator_adx.S               502  -0.116 -2.08 -3.58  0.82   -62.8  fail
AUDCAD.saleh_gator_cmo.L               625  -0.045 -0.86 -2.36  0.93   -42.5  fail
AUDCAD.saleh_gator_cmo.S               605  -0.119 -2.36 -3.86  0.81   -84.9  fail
AUDCAD.saleh_gator_rs.L                371  +0.084  1.16 -0.34  1.15   -18.8  fail
AUDCAD.saleh_gator_rs.S                380  +0.011  0.17 -1.33  1.02   -22.5  fail
AUDCAD.saleh_gator_htf.L               573  -0.101 -1.87 -3.37  0.84   -64.9  fail
AUDCAD.saleh_gator_htf.S               539  -0.072 -1.35 -2.85  0.88   -47.4  fail
AUDNZD.saleh_squeeze.S                  69  -0.113 -0.79 -2.29  0.81   -14.9  fail
AUDNZD.saleh_ema_bank.L                289  -0.197 -2.47 -3.97  0.73   -64.8  fail
AUDNZD.saleh_ema_bank.S                233  -0.263 -3.15 -4.65  0.64   -60.3  fail
AUDNZD.saleh_turtle.L                  339  -0.127 -1.64 -3.14  0.83   -62.4  fail
AUDNZD.saleh_turtle.S                  270  -0.173 -2.06 -3.56  0.77   -55.8  fail
AUDNZD.saleh_kama_dir.L               1008  -0.117 -2.59 -4.09  0.82  -137.4  fail
AUDNZD.saleh_kama_dir.S                987  -0.109 -2.78 -4.28  0.82  -123.1  fail
AUDNZD.saleh_kama_er.L                 904  -0.102 -1.92 -3.42  0.85  -128.2  fail
AUDNZD.saleh_kama_er.S                 845  -0.103 -2.42 -3.92  0.83  -101.1  fail
AUDNZD.saleh_gator_dir.L               824  -0.077 -1.67 -3.17  0.88   -71.8  fail
AUDNZD.saleh_gator_dir.S               741  -0.097 -2.17 -3.67  0.84   -84.5  fail
AUDNZD.saleh_gator_adx.L               377  -0.055 -0.81 -2.31  0.91   -42.0  fail
AUDNZD.saleh_gator_adx.S               478  -0.098 -1.72 -3.22  0.84   -55.5  fail
AUDNZD.saleh_gator_cmo.L               649  -0.052 -0.97 -2.47  0.92   -44.6  fail
AUDNZD.saleh_gator_cmo.S               545  -0.105 -2.01 -3.51  0.83   -75.7  fail
AUDNZD.saleh_gator_rs.L                371  -0.104 -1.37 -2.87  0.84   -38.6  fail
AUDNZD.saleh_gator_rs.S                356  +0.030  0.45 -1.05  1.05   -18.1  fail
AUDNZD.saleh_gator_htf.L               632  -0.133 -2.59 -4.09  0.79   -91.5  fail
AUDNZD.saleh_gator_htf.S               431  -0.074 -1.23 -2.73  0.88   -45.6  fail
NZDCAD.saleh_squeeze.L                  77  -0.267 -1.50 -3.00  0.67   -23.3  fail
NZDCAD.saleh_squeeze.S                  96  -0.161 -1.29 -2.79  0.75   -18.8  fail
NZDCAD.saleh_ema_bank.L                338  -0.220 -2.80 -4.30  0.71   -79.7  fail
NZDCAD.saleh_ema_bank.S                344  +0.100  1.25 -0.25  1.16   -20.7  fail
NZDCAD.saleh_turtle.L                  381  -0.160 -2.21 -3.71  0.79   -76.2  fail
NZDCAD.saleh_turtle.S                  369  -0.179 -2.50 -4.00  0.76   -81.0  fail
NZDCAD.saleh_kama_dir.L               1287  -0.152 -3.66 -5.16  0.78  -213.6  fail
NZDCAD.saleh_kama_dir.S               1268  -0.073 -2.03 -3.53  0.88   -99.1  fail
NZDCAD.saleh_kama_er.L                1097  -0.183 -4.21 -5.71  0.73  -220.4  fail
NZDCAD.saleh_kama_er.S                1107  -0.069 -1.82 -3.32  0.89   -86.6  fail
NZDCAD.saleh_gator_dir.L               966  -0.122 -2.68 -4.18  0.82  -136.5  fail
NZDCAD.saleh_gator_dir.S               997  -0.086 -2.16 -3.66  0.86   -95.8  fail
NZDCAD.saleh_gator_adx.L               426  -0.059 -0.93 -2.43  0.90   -47.2  fail
NZDCAD.saleh_gator_adx.S               674  -0.072 -1.50 -3.00  0.88   -60.8  fail
NZDCAD.saleh_gator_cmo.L               717  -0.124 -2.19 -3.69  0.81  -113.8  fail
NZDCAD.saleh_gator_cmo.S               748  -0.074 -1.61 -3.11  0.88   -68.8  fail
NZDCAD.saleh_gator_rs.L                440  +0.011  0.15 -1.35  1.02   -27.6  fail
NZDCAD.saleh_gator_rs.S                464  -0.124 -2.10 -3.60  0.81   -56.6  fail
NZDCAD.saleh_gator_htf.L               595  -0.173 -3.05 -4.55  0.75  -115.4  fail
NZDCAD.saleh_gator_htf.S               709  -0.093 -1.97 -3.47  0.85   -86.8  fail
XAGUSD.saleh_squeeze.L                  84  -0.265 -1.96 -3.46  0.63   -24.8  fail
XAGUSD.saleh_squeeze.S                  72  -0.102 -0.67 -2.17  0.84   -12.6  fail
XAGUSD.saleh_ema_bank.L                356  -0.080 -1.02 -2.52  0.89   -40.0  fail
XAGUSD.saleh_ema_bank.S                297  -0.219 -2.76 -4.26  0.71   -65.9  fail
XAGUSD.saleh_turtle.L                  447  -0.014 -0.21 -1.71  0.98   -43.9  fail
XAGUSD.saleh_turtle.S                  311  -0.100 -1.25 -2.75  0.86   -40.7  fail
XAGUSD.saleh_kama_dir.L               1316  -0.014 -0.38 -1.88  0.98   -75.7  fail
XAGUSD.saleh_kama_dir.S               1211  -0.145 -4.00 -5.50  0.78  -181.4  fail
XAGUSD.saleh_kama_er.L                1157  -0.028 -0.70 -2.20  0.96   -71.8  fail
XAGUSD.saleh_kama_er.S                1016  -0.115 -2.87 -4.37  0.82  -127.9  fail
XAGUSD.saleh_gator_dir.L              1118  -0.024 -0.61 -2.11  0.96   -66.9  fail
XAGUSD.saleh_gator_dir.S               910  -0.137 -3.20 -4.70  0.79  -133.0  fail
XAGUSD.saleh_gator_adx.L               610  -0.046 -0.86 -2.36  0.93   -50.5  fail
XAGUSD.saleh_gator_adx.S               590  -0.097 -1.86 -3.36  0.85   -70.3  fail
XAGUSD.saleh_gator_cmo.L               852  -0.014 -0.30 -1.80  0.98   -62.4  fail
XAGUSD.saleh_gator_cmo.S               668  -0.069 -1.37 -2.87  0.89   -51.7  fail
XAGUSD.saleh_gator_rs.L                493  -0.023 -0.38 -1.88  0.96   -34.2  fail
XAGUSD.saleh_gator_rs.S                409  -0.217 -3.41 -4.91  0.69   -97.5  fail
XAGUSD.saleh_gator_htf.L               834  -0.010 -0.22 -1.72  0.98   -40.8  fail
XAGUSD.saleh_gator_htf.S               520  -0.149 -2.67 -4.17  0.78   -79.7  fail
PAIR.AUDCAD-NZDCAD                    4695  +0.106  0.91 -0.59  1.17  -270.4  fail
PAIR.AUDNZD-NZDCAD                    5882  -0.247 -0.50 -2.00  0.76 -2907.4  fail
PAIR.EURGBP-GBPUSD                    7421  -0.781 -1.05 -2.55  0.49 -6153.8  fail
PAIR.AUDJPY-CADJPY                    3802  -0.033 -0.84 -2.34  0.95  -430.3  fail
PAIR.EURJPY-GBPJPY                    6058  +0.082  2.44  0.94  1.14  -114.0  fail
PAIR.XAUUSD-XAGUSD                    6836 -51140.793 -6.02 -7.52  0.00 -349587797.1  fail

1 survivors of 436 tests
